feature,importance
Alkhol,0.7744
AreaQ,0.1438608695652174
Surname_Dunaway,0.08173913043478262
Smokes,0.0
Name_Alex,0.0
Name_Anna,0.0
Name_Barbra ,0.0
Name_Camela,0.0
Name_Charlize ,0.0
Name_Charlton ,0.0
Name_Cristiano,0.0
Name_Diego,0.0
Name_Ellen ,0.0
Name_Ernest ,0.0
Name_Faye ,0.0
Name_Gene ,0.0
Name_Glenda ,0.0
Name_Gregory ,0.0
Name_Gwyneth ,0.0
Age,0.0
Name_Halle ,0.0
Name_Henry ,0.0
Name_Jane,0.0
Name_Jack ,0.0
Name_Jessica ,0.0
Name_Joan,0.0
Name_John,0.0
Name_Jane ,0.0
Name_Kathy,0.0
Name_Maggie ,0.0
Name_Marlon ,0.0
Name_Maximilian ,0.0
Name_Mihail,0.0
Name_Nicole,0.0
Name_Nicole ,0.0
Name_Katharine ,0.0
Name_Ray,0.0
Name_Rex ,0.0
Name_Richard ,0.0
Name_Robert ,0.0
Name_Rod ,0.0
Name_Sally ,0.0
Name_Sidney ,0.0
Name_Sissy ,0.0
Surname_Anderson,0.0
Surname_Bates,0.0
Surname_Berry,0.0
Surname_Borgnine,0.0
Surname_Brando,0.0
Surname_Burstyn,0.0
